InstrumentID: P9710-521 V5.6 SN:1875 @ COM5
DetectorID:   

 387 0x183 -> 255 0xFF 'ÿ'
 388 0x184 -> 255 0xFF 'ÿ'
 389 0x185 -> 255 0xFF 'ÿ'
 390 0x186 -> 255 0xFF 'ÿ'
 391 0x187 -> 255 0xFF 'ÿ'
 392 0x188 -> 255 0xFF 'ÿ'
 393 0x189 -> 255 0xFF 'ÿ'
 394 0x18A -> 255 0xFF 'ÿ'
 395 0x18B -> 255 0xFF 'ÿ'
 396 0x18C -> 255 0xFF 'ÿ'
 397 0x18D -> 255 0xFF 'ÿ'
 398 0x18E -> 255 0xFF 'ÿ'
 399 0x18F -> 255 0xFF 'ÿ'
 400 0x190 -> 255 0xFF 'ÿ'
 401 0x191 -> 255 0xFF 'ÿ'
 402 0x192 -> 255 0xFF 'ÿ'
 403 0x193 -> 255 0xFF 'ÿ'
 404 0x194 -> 255 0xFF 'ÿ'
 405 0x195 -> 255 0xFF 'ÿ'
 406 0x196 -> 255 0xFF 'ÿ'
 407 0x197 -> 255 0xFF 'ÿ'
 408 0x198 -> 255 0xFF 'ÿ'
 409 0x199 -> 255 0xFF 'ÿ'
 410 0x19A -> 255 0xFF 'ÿ'
 411 0x19B -> 255 0xFF 'ÿ'
 412 0x19C -> 255 0xFF 'ÿ'
 413 0x19D -> 255 0xFF 'ÿ'
 414 0x19E -> 255 0xFF 'ÿ'
 415 0x19F -> 255 0xFF 'ÿ'
 416 0x1A0 -> 255 0xFF 'ÿ'
 417 0x1A1 -> 255 0xFF 'ÿ'
 418 0x1A2 -> 255 0xFF 'ÿ'
 419 0x1A3 -> 255 0xFF 'ÿ'
 420 0x1A4 -> 255 0xFF 'ÿ'
 421 0x1A5 -> 255 0xFF 'ÿ'
 422 0x1A6 -> 255 0xFF 'ÿ'
 423 0x1A7 -> 255 0xFF 'ÿ'
 424 0x1A8 -> 255 0xFF 'ÿ'
 425 0x1A9 -> 255 0xFF 'ÿ'
 426 0x1AA -> 255 0xFF 'ÿ'
 427 0x1AB -> 255 0xFF 'ÿ'
 428 0x1AC -> 255 0xFF 'ÿ'
 429 0x1AD -> 255 0xFF 'ÿ'
 430 0x1AE -> 255 0xFF 'ÿ'
 431 0x1AF -> 255 0xFF 'ÿ'
 432 0x1B0 -> 255 0xFF 'ÿ'
 433 0x1B1 -> 255 0xFF 'ÿ'
 434 0x1B2 -> 255 0xFF 'ÿ'
 435 0x1B3 -> 255 0xFF 'ÿ'
 436 0x1B4 -> 255 0xFF 'ÿ'
 437 0x1B5 -> 255 0xFF 'ÿ'
 438 0x1B6 -> 255 0xFF 'ÿ'
 439 0x1B7 -> 255 0xFF 'ÿ'
 440 0x1B8 -> 255 0xFF 'ÿ'
 441 0x1B9 -> 255 0xFF 'ÿ'
 442 0x1BA -> 255 0xFF 'ÿ'
 443 0x1BB -> 255 0xFF 'ÿ'
 444 0x1BC -> 255 0xFF 'ÿ'
 445 0x1BD -> 255 0xFF 'ÿ'
 446 0x1BE -> 255 0xFF 'ÿ'
 447 0x1BF -> 255 0xFF 'ÿ'
 448 0x1C0 -> 255 0xFF 'ÿ'
 449 0x1C1 -> 255 0xFF 'ÿ'
 450 0x1C2 -> 255 0xFF 'ÿ'
 451 0x1C3 -> 255 0xFF 'ÿ'
 452 0x1C4 -> 255 0xFF 'ÿ'
 453 0x1C5 -> 255 0xFF 'ÿ'
 454 0x1C6 -> 255 0xFF 'ÿ'
 455 0x1C7 -> 255 0xFF 'ÿ'
 456 0x1C8 -> 255 0xFF 'ÿ'
 457 0x1C9 -> 255 0xFF 'ÿ'
 458 0x1CA -> 255 0xFF 'ÿ'
 459 0x1CB -> 255 0xFF 'ÿ'
 460 0x1CC -> 255 0xFF 'ÿ'
 461 0x1CD -> 255 0xFF 'ÿ'
 462 0x1CE -> 255 0xFF 'ÿ'
 463 0x1CF -> 255 0xFF 'ÿ'
 464 0x1D0 -> 255 0xFF 'ÿ'
 465 0x1D1 -> 255 0xFF 'ÿ'
 466 0x1D2 -> 255 0xFF 'ÿ'
 467 0x1D3 -> 255 0xFF 'ÿ'
 468 0x1D4 -> 255 0xFF 'ÿ'
 469 0x1D5 -> 255 0xFF 'ÿ'
 470 0x1D6 -> 255 0xFF 'ÿ'
 471 0x1D7 -> 255 0xFF 'ÿ'
 472 0x1D8 -> 255 0xFF 'ÿ'
 473 0x1D9 -> 255 0xFF 'ÿ'
 474 0x1DA -> 255 0xFF 'ÿ'
 475 0x1DB -> 255 0xFF 'ÿ'
 476 0x1DC -> 255 0xFF 'ÿ'
 477 0x1DD -> 255 0xFF 'ÿ'
 478 0x1DE -> 255 0xFF 'ÿ'
 479 0x1DF -> 255 0xFF 'ÿ'
 480 0x1E0 -> 255 0xFF 'ÿ'
 481 0x1E1 -> 255 0xFF 'ÿ'
 482 0x1E2 -> 255 0xFF 'ÿ'
 483 0x1E3 -> 255 0xFF 'ÿ'
